name,neighborhood,starting_point,distance_miles,description,map_link
Worlds End Loop,Hingham,Worlds End Loop parking lot,3.67,Loop around the park,https://tandemrun.app/routes/worlds-end-loop/
Bare Cove Park,Hingham,Bare Cove Park parking lot,3.32,Out and back in the park,https://tandemrun.app/routes/bare-cove-park/
Dorchester Neponset River,Dorchester,Neponset River parking lot,2.97,Out and back on river,https://tandemrun.app/routes/dorchester-neponset-river/
Milton Neponset River,Milton,Milton Station parking lot,3.57,Out and back on river,https://tandemrun.app/routes/milton-neponset-river/
Mattapan Neponset River,Mattapan,Ryan's Playground parking lot,3.15,Out and back on river,https://tandemrun.app/routes/mattapan-neponset-river/
Hyde Park Neponset River,Hyde Park,Francis D. Martini Memorial Shell Park parking lot,3.97,Out and back on river,https://tandemrun.app/routes/hyde-park-neponset-river/
Pond Meadow Park,Braintree,Pond Meadow Park parking lot (470 Liberty St),2.3,Loop around pond,https://tandemrun.app/routes/pond-meadow-park/
Public Garden,South End,Beehive,2.67,Out and back around garden,https://tandemrun.app/routes/public-garden/
West Cambridge Fresh Pond,West Cambridge,Kingsley Park parking lot,2.35,Loop around pond,https://tandemrun.app/routes/west-cambridge-fresh-pond/
Porter Square Fresh Pond,Porter Square,William G Maher park parking circle,2.86,Loop around pond,https://tandemrun.app/routes/porter-square-fresh-pond/
Minuteman Bikeway,North Cambridge,Alewife Station,3.54,Out and back on bikepath,https://tandemrun.app/routes/minuteman-bikeway/
Argenziano Park,Ball Square,Albert F. Argenziano School parking circle,1.41,Loop around the parks,https://tandemrun.app/routes/argenziano-park/
Cambridge and Binney St,Inman Square,Cambridge Public Library Valente Branch,3.05,Loop to the river and back,https://tandemrun.app/routes/cambridge-and-binney-st/
Winter Hill Somerville Community Path,Winter Hill,Foss park parking lot,2.28,Out and back on path,https://tandemrun.app/routes/winter-hill-somerville-community-path/
Davis Square Somerville Community Path,Davis Square,Seven Hills Park,2.9,Out and back on path,https://tandemrun.app/routes/davis-square-somerville-community-path/
Magoun Square Somerville Community Path,Magoun Square,Trum Field parking lot,2.46,Out and back on path,https://tandemrun.app/routes/magoun-square-somerville-community-path/
Union Square Somerville Community Path,Union Square,Prospect Hill tower,2.69,Out and back on path,https://tandemrun.app/routes/union-square-somerville-community-path/
Assembly Row Loop,Assembly Row,Earls,2.4,Out and back on river,https://tandemrun.app/routes/assembly-row-loop/
Mystic River Loop,Medford,McGlynn Elementary School parking lot,2.68,Out and back on river,https://tandemrun.app/routes/mystic-river-loop/
Pine Bank Park,Malden,Main and Forest St corner,2.96,Loop around the park,https://tandemrun.app/routes/pine-bank-park/
